1,2020-05-09,2020-05-19,4224
2,2020-04-29,2020-05-10,332
3,2020-06-05,2020-06-06,2860
4,2020-02-06,2020-02-11,1197
5,2020-05-27,2020-05-28,4203
6,2020-05-12,2020-05-23,2292
7,2020-04-02,2020-04-04,1475
8,2020-05-05,2020-05-22,1524
9,2019-11-01,2019-11-01,2690
10,2020-04-21,2020-05-01,3568
11,2020-05-12,2020-06-06,978
12,2020-05-08,2020-05-28,35
13,2020-02-19,2020-03-01,4679
14,2020-02-05,2020-02-20,3
15,2020-03-29,2020-04-21,4644
16,2020-06-02,2020-06-05,769
17,2020-01-21,2020-02-06,4795
18,2020-03-29,2020-04-12,75
19,2020-05-12,2020-05-31,3481
20,2020-05-15,2020-05-27,3525
21,2020-01-06,2020-01-06,1563
22,2019-12-27,2020-01-05,2881
23,2020-03-07,2020-03-30,366
24,2020-06-02,2020-06-03,4087
25,2019-07-02,2019-07-17,2749
26,2019-12-30,2020-01-07,2241
27,2019-06-29,2019-07-06,4591
28,2019-11-16,2019-11-18,3665
29,2020-05-14,2020-05-20,3684
30,2019-07-04,2019-07-10,2194
31,2020-04-25,2020-05-21,1775
32,2020-02-09,2020-02-21,1761
33,2019-09-23,2019-10-08,3081
34,2019-12-26,2020-01-22,299
35,2019-08-12,2019-08-20,3925
36,2020-05-12,2020-05-13,2069
37,2020-04-08,2020-04-09,4643
38,2020-01-14,2020-01-23,3966
39,2020-06-02,2020-06-06,4142
40,2020-04-28,2020-05-26,4071
41,2020-05-27,2020-06-03,84
42,2020-03-30,2020-04-18,4191
43,2020-04-01,2020-04-13,4083
44,2020-06-06,2020-06-06,571
45,2020-04-15,2020-04-20,252
46,2020-01-17,2020-01-30,4672
47,2020-06-03,2020-06-04,2958
48,2019-12-31,2020-01-05,1935
49,2020-04-08,2020-05-05,2330
50,2020-05-24,2020-06-04,2091
51,2020-05-11,2020-05-31,4218
52,2019-12-08,2019-12-30,2242
53,2020-02-26,2020-03-14,418
54,2020-06-02,2020-06-02,2941
55,2019-12-19,2019-12-19,2548
56,2020-01-14,2020-01-26,3013
57,2020-06-05,2020-06-05,2115
58,2020-05-15,2020-05-29,2031
59,2020-05-20,2020-06-01,4539
60,2020-02-14,2020-03-02,2087
61,2020-04-02,2020-05-01,4588
62,2020-05-18,2020-05-23,874
63,2020-03-30,2020-04-09,1734
64,2020-01-20,2020-02-04,3805
65,2020-05-21,2020-05-21,3229
66,2020-05-13,2020-06-04,1125
67,2020-04-29,2020-05-20,1854
68,2020-05-05,2020-05-12,3685
69,2020-04-27,2020-05-03,4448
70,2019-10-28,2019-11-02,4010
71,2020-04-27,2020-05-22,3101
72,2020-04-12,2020-04-22,3890
73,2020-02-01,2020-02-27,1760
74,2020-02-03,2020-02-25,3655
75,2020-03-29,2020-04-17,3763
76,2020-04-18,2020-04-22,2829
77,2019-07-29,2019-08-09,4307
78,2019-10-28,2019-11-03,4170
79,2019-06-17,2019-07-14,2302
80,2020-04-01,2020-04-05,2914
81,2020-01-22,2020-02-20,3656
82,2020-04-28,2020-05-23,2454
83,2020-05-09,2020-05-23,2458
84,2020-05-29,2020-05-29,3037
85,2020-04-06,2020-04-13,676
86,2020-05-19,2020-06-03,2291
87,2019-07-28,2019-08-16,1336
88,2020-05-29,2020-06-02,2657
89,2020-05-05,2020-05-19,3396
90,2020-05-23,2020-05-29,3175
91,2020-01-22,2020-02-19,1316
92,2020-05-27,2020-06-01,2161
93,2020-03-22,2020-04-12,64
94,2019-06-19,2019-07-09,1968
95,2020-01-16,2020-02-13,646
96,2020-01-06,2020-01-28,677
97,2020-02-01,2020-03-01,4036
98,2020-03-12,2020-04-01,4130
99,2020-05-24,2020-05-31,2697
100,2020-03-20,2020-04-16,1135
101,2020-01-19,2020-01-20,4126
102,2020-05-25,2020-05-26,296
103,2019-09-09,2019-09-25,3617
104,2020-05-13,2020-05-15,2826
105,2019-12-07,2019-12-14,4236
106,2020-05-27,2020-06-01,3783
